"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2022","0.9230","0.8977","0.9254","0.8898","24.16M","2.82%"
"Feb 17, 2022","0.8977","0.9766","0.9876","0.8883","29.61M","-8.09%"
"Feb 16, 2022","0.9766","0.9693","1.0076","0.9534","41.51M","0.75%"
"Feb 15, 2022","0.9693","0.8997","0.9751","0.8990","26.71M","7.68%"
"Feb 14, 2022","0.9002","0.8969","0.9092","0.8733","21.20M","0.37%"
"Feb 13, 2022","0.8969","0.9177","0.9345","0.8832","19.22M","-2.27%"
"Feb 12, 2022","0.9177","0.9159","0.9402","0.8902","22.58M","0.12%"
"Feb 11, 2022","0.9166","0.9802","0.9949","0.8979","34.48M","-6.48%"
"Feb 10, 2022","0.9802","1.0374","1.0478","0.9765","44.56M","-5.51%"
"Feb 09, 2022","1.0374","1.0238","1.0456","0.9960","34.49M","1.35%"
"Feb 08, 2022","1.0236","1.0702","1.1004","0.9873","52.47M","-4.36%"
"Feb 07, 2022","1.0702","1.0239","1.0981","0.9990","60.00M","4.53%"
"Feb 06, 2022","1.0239","1.0021","1.0282","0.9727","30.39M","2.17%"
"Feb 05, 2022","1.0021","0.9972","1.0433","0.9823","33.43M","0.50%"
"Feb 04, 2022","0.9972","0.9339","0.9994","0.9266","36.20M","6.77%"
"Feb 03, 2022","0.9339","0.9237","0.9403","0.9012","33.97M","1.11%"
"Feb 02, 2022","0.9237","0.9663","1.0292","0.9214","49.60M","-4.37%"
"Feb 01, 2022","0.9659","0.9496","0.9901","0.9468","28.17M","1.72%"
"Jan 31, 2022","0.9496","0.9449","0.9691","0.9051","32.52M","0.51%"
"Jan 30, 2022","0.9448","0.9681","0.9892","0.9296","26.69M","-2.41%"
"Jan 29, 2022","0.9681","0.9580","1.0059","0.9555","31.98M","1.06%"
"Jan 28, 2022","0.9580","0.9363","0.9852","0.9216","43.41M","2.31%"
"Jan 27, 2022","0.9363","0.9227","0.9559","0.8790","48.57M","1.48%"
"Jan 26, 2022","0.9227","0.9220","0.9915","0.8929","55.52M","0.08%"
"Jan 25, 2022","0.9220","0.9127","0.9451","0.8682","38.72M","0.81%"
"Jan 24, 2022","0.9146","0.9889","0.9889","0.8179","56.37M","-7.59%"
"Jan 23, 2022","0.9898","0.9529","1.0040","0.9258","54.60M","3.87%"
"Jan 22, 2022","0.9529","1.0314","1.0606","0.7982","127.38M","-7.77%"
"Jan 21, 2022","1.0331","1.1631","1.1945","1.0013","82.86M","-11.17%"
"Jan 20, 2022","1.1631","1.2660","1.3256","1.1595","36.97M","-8.13%"
"Jan 19, 2022","1.2660","1.3169","1.3219","1.2256","36.73M","-4.06%"
"Jan 18, 2022","1.3197","1.3415","1.3604","1.2781","31.93M","-1.70%"